StationName,IndexNbr,RegionId,RegionName,Latitude,Longitude,CountryArea,CountryCode,StationId,IndexSubNbr,Hp,Hha
TIBOOBURRA POST OFFICE,94485,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-29.43 ,142.00 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6145,0,184,183
WINDORAH POST OFFICE,94488,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-25.42 ,142.65 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6146,0,128,126
QUILPIE AIRPORT,94494,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-26.60 ,144.25 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6148,0,198,199
WANAARING POST OFFICE,94497,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-29.70 ,144.13 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6149,0,108,108
LIGHTNING RIDGE VISITORS,94498,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-29.42 ,147.97 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,11470,0,154,154
CUNNAMULLA POST OFFICE,94500,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.07 ,145.67 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6150,0,190,188
CHARLEVILLE AERO,94510,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-26.40 ,146.25 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6151,0,303,305
INJUNE POST OFFICE,94511,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-25.83 ,148.57 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6152,0,391,390
BOLLON MARY ST,94513,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.03 ,147.47 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6153,0,184,182
MITCHELL POST OFFICE,94514,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-26.48 ,147.97 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6154,0,338,336
